datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu.1,uni,rsl,rsl.1,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2014-01-31,SCHISM,suisun,3,6379.28,6015.48,1229.16,4200.74,3983.42,1.0,1.0,2.39,0.15,88.2,119.0,694.73,1371.69,1371.69,587.96,460.15,357.52,357.52,965.63,295.82,295.82,1035.2,19840.87,13089.69,8602.66,2329.21,281.4,4480.06,985.39,218.13,203.17,974.6,1015.7,171.25,8222.08,491.82,8570.03,8307.53,8467.17,839.42,171.25,1105.91,4502.71,8601.26,27320.75,305.27,13478.33,13306.59,14918.7,274.94,254.46,258.13,519.61,2.39,2.3
2014-02-01,SCHISM,suisun,3,6771.58,6361.14,1190.88,4212.09,3494.27,1.0,1.0,2.0,0.13,86.8,144.3,-111.8,460.63,460.63,632.42,484.43,360.3,360.3,969.91,295.82,295.82,1019.56,19517.26,13000.07,8530.4,2256.72,265.46,4433.07,1005.94,220.94,208.59,976.64,977.86,171.25,8267.27,501.09,8609.98,8616.79,8508.57,857.07,171.25,1106.72,4452.43,8530.05,27285.13,306.34,13239.75,13206.4,14935.26,281.62,254.46,259.64,546.07,2.36,1.92
2014-02-02,SCHISM,suisun,3,6999.18,6631.88,1175.35,4258.14,3453.23,1.0,1.0,1.68,0.08,87.0,99.8,-363.36,39.37,39.37,649.28,519.61,367.13,367.13,976.64,279.68,279.68,991.7,18469.54,12309.81,7459.36,1805.53,220.29,4031.6,935.85,208.16,212.93,981.73,968.28,176.68,8314.18,494.13,8701.18,8484.12,8552.4,809.0,177.33,957.28,4048.68,7458.66,27070.85,314.07,12403.27,12101.38,14520.41,283.13,257.48,258.99,576.67,2.31,1.56
2014-02-03,SCHISM,suisun,3,6677.35,6343.61,1174.71,4217.7,3255.87,1.0,1.0,1.47,0.09,87.0,102.9,-275.6,141.05,141.05,618.66,497.51,357.52,357.52,976.64,275.16,275.16,997.4,19380.54,12446.44,7931.9,1777.44,226.79,4213.27,970.32,218.34,212.93,982.54,976.64,183.64,8404.78,523.81,8992.68,8119.9,8616.44,750.66,171.25,903.57,4228.08,7930.85,27434.69,316.21,12923.67,12490.6,14722.35,292.38,255.54,265.24,562.01,2.31,1.37
2014-02-04,SCHISM,suisun,3,6193.32,5888.84,1193.73,4200.86,2915.49,1.0,1.0,1.32,0.26,87.4,102.9,-167.81,342.69,342.69,656.15,491.82,357.52,357.52,970.93,275.16,275.16,998.62,19702.46,12623.33,8194.58,1699.49,225.06,4198.1,984.98,224.41,212.93,988.65,973.58,187.76,8494.08,537.68,9060.61,8348.47,8695.43,740.32,171.25,895.38,4215.49,8193.35,28374.77,315.79,13104.79,12656.83,14997.5,299.47,255.54,268.48,569.76,2.44,1.3
2014-02-05,SCHISM,suisun,3,6246.76,5764.22,1214.53,4256.52,2910.16,1.0,1.0,1.34,0.31,86.2,81.0,-213.61,212.16,212.16,645.95,480.21,357.52,357.52,958.7,275.16,275.16,998.01,20242.49,13167.51,8699.09,1803.96,228.09,4439.16,1058.93,234.15,212.93,992.31,975.41,191.67,8541.92,562.85,9071.02,8789.5,8808.31,784.91,171.25,941.77,4459.43,8697.35,29349.03,317.29,13563.45,13151.41,15706.32,315.79,254.46,275.59,584.2,2.51,1.32
2014-02-06,SCHISM,suisun,3,6512.63,5778.32,1206.1,4244.15,2695.7,1.0,1.0,1.61,0.16,86.4,32.7,-746.18,-633.96,-633.96,691.25,541.46,370.11,370.11,957.07,276.88,276.88,982.54,19472.02,12474.25,7727.83,1562.54,215.74,3971.59,1008.99,225.71,223.54,996.18,960.54,192.1,8501.76,565.99,8877.92,9444.19,8862.27,731.85,171.25,877.57,3990.92,7725.01,28502.8,321.36,12885.37,12538.96,15516.11,316.0,267.62,268.48,641.38,2.38,1.5
2014-02-07,SCHISM,suisun,3,6435.93,5849.84,1206.0,4224.37,2030.33,1.0,1.0,1.92,0.02,86.2,-7.5,-1394.73,-1325.28,-1325.28,668.41,505.09,388.01,388.01,940.14,295.82,295.82,980.91,19935.18,12720.61,7794.73,1599.56,222.89,4124.74,1068.87,242.15,229.39,984.78,955.85,196.01,8468.75,627.83,8970.78,8352.67,8912.71,719.43,171.25,849.07,4145.31,7792.8,28975.19,333.36,12965.99,12903.85,15474.54,331.0,275.16,266.97,602.38,2.29,1.83
2014-02-08,SCHISM,suisun,3,6830.36,6182.97,1239.78,4205.67,606.15,1.0,1.0,2.37,-0.03,86.4,-13.1,-3271.42,-3383.93,-3383.93,614.28,428.81,410.13,410.13,917.88,295.82,295.82,978.47,20394.59,12985.8,7987.24,1620.53,234.36,4396.38,1137.04,254.03,246.9,976.64,942.39,214.66,8353.54,693.53,9067.9,8179.51,8929.06,725.02,184.72,873.88,4415.56,7984.78,28954.6,340.42,13202.04,13349.63,15542.33,363.29,276.88,271.5,537.47,2.28,2.26
2014-02-09,SCHISM,suisun,3,10231.29,7401.17,1285.33,4466.26,1996.55,1.0,1.0,2.97,0.03,86.4,0.8,-5053.01,-5453.33,-5453.33,561.59,406.31,462.47,462.47,920.74,295.82,295.82,956.66,20277.12,12869.74,8100.96,1486.73,237.17,4289.1,1121.48,253.59,254.46,972.77,922.78,235.23,8238.55,712.39,9078.14,8457.56,8949.92,739.7,192.1,844.55,4309.24,8098.33,28161.67,347.05,13308.44,13636.15,15443.03,394.4,281.4,289.8,484.86,2.32,2.81
