datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu,uni,rsl,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori
2013-10-24,SCHISM,cache,3,9196.29,9166.12,1981.84,2535.51,9066.66,1.00,0.00,1.94,0.10,90.40,83.60,507.64,1822.53,1822.53,728.74,691.87,643.87,643.87,679.63,514.77,514.77,838.39,21738.22,12775.60,9965.72,3505.08,824.42,7301.10,2192.79,334.43,265.46,564.31,700.58,334.64,13295.54,1076.57,12344.74,10149.78,11686.03,1367.98,171.25,1835.17,7308.54,9965.55,37468.46,416.08,12353.35,15092.14,14558.93,478.95,400.14,447.45,699.34
2013-10-25,SCHISM,cache,3,8954.09,8918.67,2211.23,2372.99,9275.45,1.00,0.18,2.54,-0.02,89.60,75.80,558.92,1885.48,1885.48,674.23,576.25,603.63,603.63,693.95,498.77,498.77,791.50,22676.37,13008.97,9833.08,3816.50,808.38,6878.27,2155.93,375.66,285.28,611.15,697.89,319.65,12253.60,1054.07,12163.24,9910.96,11844.17,1648.59,171.25,2101.53,6891.96,9832.22,34876.67,357.52,13406.88,15284.70,16226.96,460.57,411.83,448.94,615.74
2013-10-26,SCHISM,cache,3,9039.44,9038.86,2786.87,2530.54,9813.67,1.00,0.11,3.38,-0.03,91.00,319.70,837.60,2176.83,2176.83,673.61,534.32,464.38,464.38,504.04,479.79,479.79,731.02,22316.21,13565.29,9349.33,3516.15,818.05,6297.27,2104.84,382.26,297.11,958.09,539.99,305.70,11779.96,1034.59,12036.96,9757.21,12052.86,1528.83,262.44,2029.70,6315.01,9349.51,33963.14,362.22,14961.25,15874.74,17853.51,1292.54,418.84,476.63,595.28
2013-10-27,SCHISM,cache,3,8852.95,8885.32,3341.48,2679.17,9983.15,1.00,0.00,4.35,0.04,90.20,174.10,641.99,1956.40,1956.40,627.83,496.45,416.72,416.72,367.13,465.01,465.01,596.53,24619.83,15737.94,10467.96,4425.14,1170.13,6803.16,2349.68,446.82,320.72,1081.02,386.10,336.57,11936.29,1187.86,12156.65,9702.00,12733.22,1768.59,827.30,2311.83,6822.03,10467.79,35947.24,381.41,17427.13,18802.35,19503.10,1827.32,425.84,493.50,558.87
2013-10-28,SCHISM,cache,3,7904.14,7890.70,3606.37,2577.38,9297.17,1.00,0.42,5.15,0.12,89.40,101.90,465.95,1780.36,1780.36,553.83,508.67,398.44,398.44,375.02,448.30,448.30,422.66,23615.44,15633.00,10904.14,4513.21,1457.69,6457.50,2347.56,441.53,343.20,1083.25,375.23,298.82,12408.50,1151.37,12098.51,10562.01,13488.37,1762.30,538.52,2636.11,6482.89,10901.58,35164.67,381.63,18115.48,19715.97,20243.61,2347.94,423.08,505.51,500.03
2013-10-29,SCHISM,cache,3,8711.54,8383.63,3751.77,2115.95,10707.62,1.00,0.42,5.61,0.20,89.20,113.20,473.47,1787.97,1787.97,530.75,404.61,406.10,406.10,328.22,422.45,422.45,396.95,22807.40,15353.57,10617.31,4125.85,1218.86,6095.91,2130.88,406.73,343.84,979.49,337.00,273.65,12949.53,1138.65,11987.40,10145.99,13856.03,1573.63,395.04,2297.34,6124.48,10613.37,34265.42,386.10,18589.66,19646.33,20481.56,2830.18,422.66,514.56,405.67
2013-10-30,SCHISM,cache,3,9904.10,9770.04,3782.44,2438.19,11647.30,1.00,0.00,5.70,0.16,88.40,83.90,482.84,1806.14,1806.14,427.11,383.33,413.74,413.74,354.74,418.84,418.84,350.68,22571.86,15438.08,10763.55,4168.84,1314.98,5985.49,2044.90,409.28,353.25,917.67,338.28,250.14,13303.91,1135.42,12083.13,9792.91,14299.74,1521.88,393.34,2273.55,6015.18,10759.61,33728.02,385.67,19010.73,19959.91,20774.69,2948.91,418.84,515.61,380.13
2013-10-31,SCHISM,cache,3,10269.10,10147.79,3660.93,3971.81,10349.96,1.00,0.55,5.40,0.06,87.40,95.20,486.95,1779.32,1779.32,359.44,358.38,394.40,394.40,372.46,418.84,418.84,369.69,21991.93,14853.94,10231.21,3796.36,1127.14,5570.33,1844.39,460.57,357.09,805.50,373.95,230.90,13594.21,1115.82,12169.15,10246.15,14562.25,1436.19,378.43,2057.37,5601.28,10227.95,33137.51,393.55,18851.48,20020.12,20779.01,2818.56,418.84,510.35,357.52
2013-11-01,SCHISM,cache,3,10933.43,10864.80,3436.53,4221.63,10885.65,1.00,1.00,4.74,0.03,86.60,175.40,912.73,1923.10,1923.10,375.66,381.63,374.38,374.38,359.44,418.84,418.84,381.84,21544.85,14366.41,9660.57,3330.06,936.06,5143.17,1674.84,473.67,372.89,754.99,363.07,256.83,13796.29,1087.10,11567.41,8473.81,14277.29,1310.77,375.66,1797.48,5173.23,9657.63,32342.29,402.69,17984.47,19115.96,20204.48,2819.70,418.84,508.46,376.94
2013-11-02,SCHISM,cache,3,11300.25,11232.03,3204.69,3728.02,11474.75,1.00,1.00,3.87,-0.00,85.40,419.90,1117.73,2130.08,2130.08,378.22,387.16,361.36,361.36,403.12,418.84,418.84,385.25,21481.95,14298.91,9398.33,3004.35,813.52,4950.29,1565.90,450.84,378.86,731.02,386.31,359.23,13766.75,1098.23,10876.14,7954.04,13791.29,1245.59,276.45,1626.66,4979.16,9395.39,31530.79,402.27,17306.66,18430.67,19883.13,2634.19,418.84,509.30,383.76
2013-11-03,SCHISM,cache,3,11529.80,11439.57,3032.77,3986.78,11107.55,1.00,0.32,3.05,-0.03,84.80,419.50,951.25,1952.85,1952.85,383.54,387.38,367.34,367.34,474.52,418.84,418.84,414.38,21024.10,13568.46,8714.08,2390.96,673.40,4399.88,1378.56,425.20,381.63,586.08,457.40,404.40,13519.81,1079.20,10169.37,7845.05,13252.65,1148.95,208.38,1406.89,4425.88,8712.68,30667.70,409.71,16544.31,17700.82,19670.62,1930.54,422.66,499.19,386.31
2013-11-04,SCHISM,cache,3,12372.19,12294.06,2914.76,4519.39,11392.11,1.00,0.01,2.39,0.06,84.00,118.50,743.05,1751.69,1751.69,408.01,408.22,376.72,376.72,534.32,418.84,418.84,463.74,21386.19,12978.92,8410.55,2224.38,563.06,3985.72,1263.86,416.29,378.00,378.00,517.29,352.18,13082.98,1079.40,10135.34,8628.47,13060.83,1093.57,171.25,1249.20,4003.37,8409.85,30481.76,418.84,16490.56,17712.37,19771.60,494.34,434.96,477.47,412.47
2013-11-05,SCHISM,cache,3,13272.38,12975.31,2825.05,5040.17,11766.55,1.00,0.46,2.00,0.17,83.20,92.70,801.99,1814.83,1814.83,444.91,430.93,378.00,378.00,602.17,432.41,432.41,513.30,20951.75,12627.37,7892.53,2048.80,462.90,3819.49,1229.71,383.12,378.00,402.27,575.62,321.15,12826.72,1049.61,10083.41,8950.79,13082.98,1007.36,171.25,1159.64,3837.94,7891.83,30774.50,418.84,16418.27,17925.34,19517.91,484.43,439.20,481.27,445.55
